text,label
"Sharing the draft agenda for next week's team offsite meeting. No rush on this, whenever you get a chance is fine. See you at the meeting.",legitimate
Your recent invoice from HDFC Bank could not be processed — a small discrepancy needs your attention. Just head over to the portal and pop in your details — shouldn't take more than a minute. Thanks in advance for the quick turnaround.,phishing
Quick heads up — I moved our client proposal call to next week. Let me know if the numbers in row 14 look right to you. See you at the meeting.,legitimate
"I need this handled quietly before the board call — can you wire $4,820 to the vendor on file? To avoid any interruption, complete the check at the attached document at your earliest convenience. Let me know once it's done.",phishing
I need this handled quietly before the board call — can you wire $56.30 to the vendor on file? I've attached the details — the secure link below has the rest of the steps. Appreciate you handling this discreetly.,phishing
"I need this handled quietly before the board call — can you wire $4,820 to the vendor on file? Just head over to this page and pop in your details — shouldn't take more than a minute. Let me know once it's done.",phishing
Your recent invoice from DHL could not be processed — a small discrepancy needs your attention. Please take a moment to review the secure link below so we can keep your account in good standing. I'll follow up once I hear back from you.,phishing
"Sharing the draft agenda for next week's product launch meeting. No rush on this, whenever you get a chance is fine. Let me know your thoughts whenever works.",legitimate
Our records show your subscription with Microsoft is about to lapse unless you update billing. Please take a moment to review the secure link below so we can keep your account in good standing. I'll follow up once I hear back from you.,phishing
Reminder: the vendor contract review is scheduled for Thursday at 3pm. Let me know if the numbers in row 33 look right to you. See you at the meeting.,legitimate
Sharing the draft agenda for next week's hiring meeting. Happy to hop on a call if it's easier to talk it through. See you at the meeting.,legitimate
This is Michael from finance — I'm in back-to-back meetings and need you to handle a payment today. Just head over to this form and pop in your details — shouldn't take more than a minute. Let me know once it's done.,phishing
"Hey Fatima, just following up on the notes from yesterday's sync. I think we're close, just need your sign-off on the last section. Appreciate you being flexible on timing.",legitimate
Here's the summary from today's stand-up in case you missed it. Let me know if the numbers in row 26 look right to you. Talk soon.,legitimate
I wanted to loop you in on where we landed with the hiring discussion. Let me know if the numbers in row 20 look right to you. Thanks again for the help this week.,legitimate
I wanted to loop you in on where we landed with the product launch discussion. Let me know if the numbers in row 10 look right to you. Let me know your thoughts whenever works.,legitimate
"I need this handled quietly before the board call — can you wire $210.00 to the vendor on file? To avoid any interruption, complete the check at the tracking page at your earliest convenience. Reach out if anything looks off, but otherwise this should be routine.",phishing
"Hey Neha, just following up on the notes from yesterday's sync. Let's sync before Friday so we're aligned going into the review. Have a good rest of your day.",legitimate
Sharing the draft agenda for next week's onboarding meeting. Let me know if the numbers in row 39 look right to you. See you at the meeting.,legitimate
"As part of a routine security review, ICICI Bank is asking account holders to re-confirm login details. Could you go through this page today, ideally before end of day? I'll follow up once I hear back from you.",phishing
"Hey Emma, just following up on the notes from yesterday's sync. I think we're close, just need your sign-off on the last section. Appreciate you being flexible on timing.",legitimate
Here's the summary from today's stand-up in case you missed it. Let me know if the numbers in row 6 look right to you. See you at the meeting.,legitimate
Sharing the draft agenda for next week's client proposal meeting. Let me know if the numbers in row 4 look right to you. Talk soon.,legitimate
Here's the summary from today's stand-up in case you missed it. Let me know if the numbers in row 28 look right to you. Let me know your thoughts whenever works.,legitimate
Reminder: the team offsite review is scheduled for Thursday at 3pm. Let me know if the numbers in row 9 look right to you. Let me know your thoughts whenever works.,legitimate
"This is Rahul from finance — I'm in back-to-back meetings and need you to handle a payment today. Could you go through the portal today, ideally before end of day? Let me know once it's done.",phishing
Our records show your subscription with the payroll team is about to lapse unless you update billing. Just head over to the secure link below and pop in your details — shouldn't take more than a minute. Thanks in advance for the quick turnaround.,phishing
"Your recent invoice from FedEx could not be processed — a small discrepancy needs your attention. To avoid any interruption, complete the check at this page at your earliest convenience. This should only take a minute of your time.",phishing
This is Vikram from finance — I'm in back-to-back meetings and need you to handle a payment today. Just head over to the tracking page and pop in your details — shouldn't take more than a minute. Let me know once it's done.,phishing
Quick heads up — I moved our roadmap call to next week. Feel free to push back if you see it differently. Talk soon.,legitimate
"Hey Arjun, just following up on the notes from yesterday's sync. Let me know if the numbers in row 2 look right to you. Thanks again for the help this week.",legitimate
"Sharing the draft agenda for next week's vendor contract meeting. No rush on this, whenever you get a chance is fine. See you at the meeting.",legitimate
"Hey Michael, just following up on the notes from yesterday's sync. Let me know if the numbers in row 36 look right to you. Have a good rest of your day.",legitimate
"This is James from finance — I'm in back-to-back meetings and need you to handle a payment today. To avoid any interruption, complete the check at the portal at your earliest convenience. I'll follow up once I hear back from you.",phishing
Reminder: the budget review is scheduled for Thursday at 3pm. Happy to hop on a call if it's easier to talk it through. Thanks again for the help this week.,legitimate
"Our records show your subscription with ICICI Bank is about to lapse unless you update billing. To avoid any interruption, complete the check at the tracking page at your earliest convenience. This should only take a minute of your time.",phishing
"This is Rahul from finance — I'm in back-to-back meetings and need you to handle a payment today. To avoid any interruption, complete the check at this page at your earliest convenience. Reach out if anything looks off, but otherwise this should be routine.",phishing
"We noticed unusual activity on your DHL account and need you to confirm a few details. I've attached the details — this form has the rest of the steps. Reach out if anything looks off, but otherwise this should be routine.",phishing
"Your recent invoice from Apple could not be processed — a small discrepancy needs your attention. Could you go through the portal today, ideally before end of day? I'll follow up once I hear back from you.",phishing
"Congratulations! You've been selected to receive a refund of ₹38,500 from ICICI Bank. Just head over to the tracking page and pop in your details — shouldn't take more than a minute. Let me know once it's done.",phishing
"Reminder: the hiring review is scheduled for Thursday at 3pm. I think we're close, just need your sign-off on the last section. Talk soon.",legitimate
I wanted to loop you in on where we landed with the vendor contract discussion. Let's sync before Friday so we're aligned going into the review. Thanks again for the help this week.,legitimate
"Hey David, just following up on the notes from yesterday's sync. Feel free to push back if you see it differently. Let me know your thoughts whenever works.",legitimate
Our records show your subscription with HDFC Bank is about to lapse unless you update billing. Please take a moment to review the portal so we can keep your account in good standing. Let me know once it's done.,phishing
"Hey Alex, just following up on the notes from yesterday's sync. I think we're close, just need your sign-off on the last section. Talk soon.",legitimate
Quick heads up — I moved our vendor contract call to next week. Let me know if the numbers in row 35 look right to you. Let me know your thoughts whenever works.,legitimate
"Our records show your subscription with Amazon is about to lapse unless you update billing. Could you go through the secure link below today, ideally before end of day? Thanks in advance for the quick turnaround.",phishing
"As part of a routine security review, Apple is asking account holders to re-confirm login details. To avoid any interruption, complete the check at this form at your earliest convenience. Appreciate you handling this discreetly.",phishing
"This is Rahul from finance — I'm in back-to-back meetings and need you to handle a payment today. To avoid any interruption, complete the check at this form at your earliest convenience. Let me know once it's done.",phishing
"Our records show your subscription with PayPal is about to lapse unless you update billing. Nothing complicated, just swing by the tracking page to keep things moving. Let me know once it's done.",phishing
This is Ananya from finance — I'm in back-to-back meetings and need you to handle a payment today. Please take a moment to review the portal so we can keep your account in good standing. I'll follow up once I hear back from you.,phishing
Attached is the updated quarterly report spreadsheet for this quarter. Let me know if the numbers in row 35 look right to you. Appreciate you being flexible on timing.,legitimate
"We noticed unusual activity on your LinkedIn account and need you to confirm a few details. Could you go through this page today, ideally before end of day? This should only take a minute of your time.",phishing
"Our records show your subscription with ICICI Bank is about to lapse unless you update billing. Nothing complicated, just swing by the secure link below to keep things moving. Thanks in advance for the quick turnaround.",phishing
Our records show your subscription with the IT helpdesk is about to lapse unless you update billing. Please take a moment to review this form so we can keep your account in good standing. I'll follow up once I hear back from you.,phishing
I wanted to loop you in on where we landed with the budget discussion. Let me know if the numbers in row 2 look right to you. Thanks again for the help this week.,legitimate
Reminder: the onboarding review is scheduled for Thursday at 3pm. Feel free to push back if you see it differently. Appreciate you being flexible on timing.,legitimate
"I need this handled quietly before the board call — can you wire ₹38,500 to the vendor on file? To avoid any interruption, complete the check at the portal at your earliest convenience. Appreciate you handling this discreetly.",phishing
Sharing the draft agenda for next week's hiring meeting. Let me know if the numbers in row 20 look right to you. Have a good rest of your day.,legitimate
"Hey Vikram, just following up on the notes from yesterday's sync. Let me know if the numbers in row 21 look right to you. Talk soon.",legitimate
Sharing the draft agenda for next week's budget meeting. Happy to hop on a call if it's easier to talk it through. Appreciate you being flexible on timing.,legitimate
"Congratulations! You've been selected to receive a refund of ₹38,500 from HDFC Bank. Nothing complicated, just swing by the attached document to keep things moving. This should only take a minute of your time.",phishing
Congratulations! You've been selected to receive a refund of $210.00 from PayPal. Please take a moment to review the secure link below so we can keep your account in good standing. This should only take a minute of your time.,phishing
"We noticed unusual activity on your Apple account and need you to confirm a few details. To avoid any interruption, complete the check at the secure link below at your earliest convenience. Thanks in advance for the quick turnaround.",phishing
Your recent invoice from ICICI Bank could not be processed — a small discrepancy needs your attention. Just head over to this form and pop in your details — shouldn't take more than a minute. Appreciate you handling this discreetly.,phishing
Sharing the draft agenda for next week's quarterly report meeting. Let's sync before Friday so we're aligned going into the review. Thanks again for the help this week.,legitimate
